username,retweet_count,reply_count,like_count,quote_count,url,text,created_at,id,conversation_id
StJohnsTelegram,0,0,1,0,https://www.saltwire.com/atlantic-canada/weather/atlantic-regional-weather-forecast-july-13-2022-100629371/?utm_medium=Social&utm_source=Twitter#Echobox=1657715158-12,A warm and humid Wednesday is on the way for much of Atlantic Canada.  https://t.co/0o4a0wxYX3 https://t.co/dViqhxKXxl,2022-07-13T12:46:53.000Z,1547200893640212480,1547200893640212480
StJohnsTelegram,0,0,1,0,https://www.saltwire.com/newfoundland-labrador/news/mount-pearl-mayor-says-city-willing-to-negotiate-with-striking-workers-union-says-no-one-contacted-them-100752664/?utm_medium=Social&utm_source=Twitter#Echobox=1657713663-2,"""Mayor Aker is trying to put this right onto the union as if this was our doing. It's not, this was the city, and the city, with the stroke of a pen, could have us back,"" CUPE 2099 local president Ken Turner said. 

From @evancareen

https://t.co/6is1A4MKwX",2022-07-13T12:01:04.000Z,1547189363561332738,1547189363561332738
StJohnsTelegram,1,2,1,0,https://www.saltwire.com/newfoundland-labrador/opinion/commentary-poor-people-dont-have-the-resources-to-pay-back-cerb-100752549/?utm_medium=Social&utm_source=Twitter#Echobox=1657711878-2,"""Remember how confusing the rules were when they first came out? Remember the advice that they got from government staff to apply anyway even when they may not have been eligible? Remember the self-employment rules that got reversed?""

https://t.co/3LrSMkoGlf",2022-07-13T11:31:18.000Z,1547181875277471744,1547181875277471744
StJohnsTelegram,0,0,1,0,https://www.saltwire.com/newfoundland-labrador/opinion/scott-taylor-canadian-military-gets-with-the-times-again-with-new-dress-code-100752265/?utm_medium=Social&utm_source=Twitter#Echobox=1657711679-2,"""Watching two completely bald, Caucasian, career military men talk about the importance of one’s hairstyle being an indicator of the CAF’s new policy of inclusivity was almost farcical,"" writes Scott Taylor.

https://t.co/4XTJpGSGCE",2022-07-13T11:28:00.000Z,1547181040900444160,1547181040900444160
PEIGuardian,0,0,0,0,https://www.saltwire.com/atlantic-canada/weather/atlantic-regional-weather-forecast-july-13-2022-100629371/,"Your short-term weather forecast in Prince Edward Island for July 13, 2022
https://t.co/25ffVHI1C1 https://t.co/CdvHyBvYJJ",2022-07-13T16:18:31.000Z,1547254154057465856,1547254154057465856
PEIGuardian,1,0,3,0,https://www.saltwire.com/prince-edward-island/news/arlington-pei-farmer-battling-potato-beetles-with-modern-twist-on-old-invention-100752115/?utm_medium=Social&utm_source=Twitter#Echobox=1657722551,"A P.E.I. farmer got creative after his 2021 crop was decimated by Colorado potato beetles. He built a machine inspired by one invented in the 1890s. Towed behind a tractor, it sweeps bugs from the plant and deposits them into a container for easy disposal. https://t.co/czBheveV1U",2022-07-13T14:41:29.000Z,1547229732915273728,1547229732915273728
PEIGuardian,0,0,0,0,https://www.saltwire.com/atlantic-canada/weather/atlantic-regional-weather-forecast-july-13-2022-100629371/?utm_medium=Social&utm_source=Twitter#Echobox=1657715158-13,A warm and humid Wednesday is on the way for much of Atlantic Canada.  https://t.co/AkFa9UrWXN https://t.co/CZuFQCMr3d,2022-07-13T12:55:37.000Z,1547203091929464833,1547203091929464833
PEIGuardian,0,0,0,3,https://www.saltwire.com/prince-edward-island/news/she-was-so-dehydrated-her-eyelids-were-stuck-to-her-eyes-pei-families-speak-out-about-long-term-care-conditions-100752665/?utm_medium=Social&utm_source=Twitter#Echobox=1657713540,"“That’s why you wear a diaper, and the morning staff will clean you up,” Marion was told.

“From her first night in that facility, her dignity was taken from her,” she said. “Now, just imagine if someone said that to you. How would you feel?” 

#peipoli  https://t.co/UxZ9TiC2Qx",2022-07-13T11:59:01.000Z,1547188850342207491,1547188850342207491
PEIGuardian,0,0,0,0,https://www.saltwire.com/prince-edward-island/news/treaty-fisherys-first-season-deemed-a-success-for-lennox-island-young-indigenous-fishers-100752608/?utm_medium=Social&utm_source=Twitter#Echobox=1657711551,"ICYMI: “It was great, and the real great part of it was we had three young people in our community who were out there fishing and making a living. They were very happy about it,” said Chief Darlene Bernard. https://t.co/uAulJysPvF",2022-07-13T11:49:09.000Z,1547186366332784641,1547186366332784641
PEIGuardian,1,0,1,0,https://www.saltwire.com/prince-edward-island/news/remove-dfo-from-first-nations-fisheries-negotiations-says-senate-report-100752659/?utm_medium=Social&utm_source=Twitter#Echobox=1657707252-1,"""In my opinion, DFO should never have been able to manage it in the first place. Their job is to manage the species and conservation and so on. They have no authority to negotiate,” said Senator @BrianFrancisPEI.

@FishOceansCAN https://t.co/fhUjXRVTZ5",2022-07-13T10:14:15.000Z,1547162481570811906,1547162481570811906
PEIGuardian,0,0,0,0,https://www.saltwire.com/atlantic-canada/weather/ask-allister-what-causes-dramatic-sunrises-and-sunsets-100752566/?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1657704845,ASK ALLISTER: What causes dramatic sunrises and sunsets? | SaltWire https://t.co/HsCyObNRPs,2022-07-13T09:35:32.000Z,1547152740043857924,1547152740043857924
PEIGuardian,0,0,0,0,https://www.saltwire.com/halifax/opinion/my-take-with-sheldon-macleod-a-history-of-violence-100752503/,"As we're learning at the Mass Casualty Commission, there's a pattern of behaviour. But it's neither an explanation or an excuse for the hurt caused to so many. https://t.co/bkDfUomSHj https://t.co/0iS6dATmlg",2022-07-12T20:47:40.000Z,1546959499952529411,1546959499952529411
PEIGuardian,0,0,0,0,https://www.saltwire.com/atlantic-canada/weather/atlantic-regional-weather-forecast-july-12-2022-100629371/,"Your national weather forecast in Canada for July 12, 2022. https://t.co/TxOLgSCpwQ https://t.co/AtKoVPRtc7",2022-07-12T19:55:10.000Z,1546946285869142020,1546946285869142020
PEIGuardian,0,0,0,0,https://www.saltwire.com/prince-edward-island/news/residents-asking-why-oversized-structure-was-allowed-to-be-built-in-point-prim-pei-100751441/,"Some residents wonder why oversized structure was allowed to be built in Point Prim, P.E.I., despite a denied permit and repeated calls and complaints to the provincial regulator. https://t.co/9hajx1Jd1J https://t.co/S5B2dqY3PO",2022-07-12T19:15:55.000Z,1546936409134604293,1546936409134604293
KingsNSnews,0,0,0,0,https://www.saltwire.com/atlantic-canada/weather/atlantic-regional-weather-forecast-july-13-2022-100629371/,"Your short-term weather forecast in Nova Scotia for July 13, 2022
https://t.co/vB3YW6b5ca https://t.co/sEGv7EwNZv",2022-07-13T15:48:42.000Z,1547246648396599301,1547246648396599301
KingsNSnews,0,0,0,0,https://www.saltwire.com/nova-scotia/news/kings-and-west-hants-court-report-july-12-2022-100752486/?utm_medium=Social&utm_source=Twitter#Echobox=1657717766-2,Here is the latest court report for Kings and West Hants counties. https://t.co/PRzTMVM9Uf,2022-07-13T14:21:18.000Z,1547224654250647557,1547224654250647557
KingsNSnews,1,0,0,0,https://www.saltwire.com/halifax/news/two-dead-after-separate-western-nova-scotia-crashes-100752682/?utm_medium=Social&utm_source=Twitter#Echobox=1657718756,UPDATED: Two dead after separate western Nova Scotia crashes | SaltWire https://t.co/flVH8WGoAB,2022-07-13T13:37:02.000Z,1547213516540706817,1547213516540706817
KingsNSnews,0,0,0,0,https://www.saltwire.com/atlantic-canada/news/thinking-out-loud-with-sheldon-macleod-zach-churchill-takes-the-helm-100752647/,"Over the weekend, Yarmouth MLA Zach Churchill was chosen to be the new leader of the Nova Scotia Liberal Party. And while he was quick to congratulate the other candidate, he's coming out swinging against the Tim Houston Progressive Conservatives. https://t.co/Rbxyd5Wz6X https://t.co/hzl0E1KxGV",2022-07-13T13:28:21.000Z,1547211329815052289,1547211329815052289
KingsNSnews,0,0,0,0,https://www.saltwire.com/nova-scotia/news/mass-killers-former-colleague-recounts-witnessing-vicious-assault-at-denture-clinic-100752824/?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1657716234,Mass killer’s former colleague recounts witnessing vicious assault at denture clinic | SaltWire https://t.co/5xxCMCB77O,2022-07-13T13:00:07.000Z,1547204225993789441,1547204225993789441
KingsNSnews,0,0,0,0,https://www.saltwire.com/atlantic-canada/weather/atlantic-regional-weather-forecast-july-13-2022-100629371/?utm_medium=Social&utm_source=Twitter#Echobox=1657715158-16,A warm and humid Wednesday is on the way for much of Atlantic Canada.  https://t.co/PR5POJ5bWl https://t.co/GGVBwo5fU0,2022-07-13T12:31:41.000Z,1547197070456623104,1547197070456623104
KingsNSnews,0,0,0,0,https://www.saltwire.com/halifax/news/one-killed-two-hurt-in-kings-county-crash-100752682/?utm_medium=Social&utm_source=Twitter#Echobox=1657710209,"One killed, two hurt in Kings County crash | SaltWire https://t.co/3AJGVB9YQM",2022-07-13T11:14:36.000Z,1547177668558348296,1547177668558348296
KingsNSnews,0,0,1,0,https://www.saltwire.com/nova-scotia/news/remove-dfo-from-first-nations-fisheries-negotiations-says-senate-report-100752659/?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1657709798,"Remove DFO from First Nations fisheries negotiations, says Senate report | SaltWire https://t.co/J50SfLwbQi",2022-07-13T11:00:58.000Z,1547174240176177152,1547174240176177152
KingsNSnews,0,0,0,0,https://www.saltwire.com/atlantic-canada/weather/ask-allister-what-causes-dramatic-sunrises-and-sunsets-100752566/?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1657703992,ASK ALLISTER: What causes dramatic sunrises and sunsets? | SaltWire https://t.co/7cYNSbUIV3,2022-07-13T09:21:18.000Z,1547149156107575299,1547149156107575299
